,name,line
2104,Narrator,(Roar)
2105,Narrator,"In the next second, a deafening roar resounds throughout the ground. The walls of the Northern tower start to tremble violently, spraying fine grains of crumbling sand."
2106,Cain,"Hurry, to the elevator!"
2107,Riquet,......Got it!
2108,Arthur,"Sir Sage, this way!"
2109,Narrator,"We make a flying leap onto the elevator. Beyond the window, the giant creature flying in the sky notices the tower, and turns to charge towards us. It looms steadily closer with every beat of its wings, as the wind becomes a typhoon so strong that we stagger under its force."
2110,Cain,"Move, move, move......!"
2111,Narrator,"The creature is so huge that it could very well knock down the Northern tower simply by crashing into it. Arthur shields me, and I grip Riquet's hand tightly as I look out the window beyond the elevator doors. The last thing we see is - the gigantic creature's jaw and fangs gaping wide open. And then...... A shadow appears, standing between the tower and the creature, as if protecting us from it."
2112,Narrator,"It was only for a split second - it might have been my imagination. Maybe nobody else noticed. Not even Arthur, who had been protecting me. But I was certain that I saw him."
2113,Akira,(......Oz......!?)
2114,Narrator,Oz raises his staff towards the sky. And the doors of the elevator close.
2115,Riquet,......That surprised me......
2116,Cain,"That wasn't my imagination, right...... Did you guys see it too?"
2117,Arthur,"Yes....... That was indeed a Grand Dragon, like the ones I've seen illustrated in books......"
2118,Riquet,I thought unicorns were the only creatures who could wield magic like us?
2119,Cain,To think that even the Grand Dragon would come back to life...... Was this also caused by the < Great Catastrophe >......?
2120,Narrator,"The wizards turn pale; even to them, that gigantic creature was a fearsome existence."
2121,Narrator,(Footsteps)
2122,Narrator,That's when Shino approaches us.
2123,Shino,"Looks like you ran into a monster. I saw one in the Eastern forest, too."
2124,Cain,The Eastern forest? Do you mean Sherwood Forest?
2125,Shino,Yeah. I ran into a wyvern. It was a tough opponent.
2126,Cain,You defeated it?
2127,Shino,Yeah.
2128,Cain,You're amazing!
2129,Narrator,Shino looks a bit pleased at Cain's praise.
2130,Shino,"Well, yeah."
2131,Arthur,"......I need to report this to the ministers...... Sorry, I'll have to return to the castle for a bit."
2132,Cain,Understood. Shall we postpone the parade and the inauguration ceremony?
2133,Arthur,"No, we'll hold them as planned. We need to offer the people hope after the suffering they went through under the < Great Catastrophe >. I'm sorry that I keep asking for you to lend me your strength, but please work with me."
2134,Akira,Yes.
2135,Cain,Gladly.
2136,Riquet,......I understand.
2137,Shino,"A parade and a party? Do I get anything for participating? Can I become someone of status, like the Master of Blanchett?"
2138,Arthur,You can become a hero. Everyone will look forward to witnessing your great deeds.
2139,Narrator,Shino raises his eyebrow and grins.
2140,Shino,"A hero, huh. Not bad."
2141,Cain,You're an interesting one. Eastern wizards are supposed to hate humans and attention.
2142,Shino,There's something that I want.
2143,Narrator,(Footsteps)
2144,Narrator,"Shino answers shortly, and then walks away. Arthur, too, leaves for the Central castle. His face bore a despondent expression before he left; I don't think the appearance of the gigantic creature was solely to blame. Of course he's sad. Because Oz - the man who raised him - treated him with such harsh coldness."
2145,Akira,"(It's probably better if I don't tell him about seeing Oz at that last moment...... I might be wrong, and I don't want him to worry.) (I hope Oz is safe..... It'd be good if they could make up.) (Since Arthur is feeling so down...... I have to work harder to make the party and parade a success.)"
2146,Central Country woman,I hear that the Sage and the wizards are coming to the capital!
2147,Central Country man,"It's the parade they hold every year after they've held off the attacks of the < Great Catastrophe >! There'll be an inauguration ceremony too, since we have a new Sage and new wizards! Finally, some good news......"
2148,???,............ A new sage......
2149,Cain,"Oz and the Northern wizards are still missing, but we should follow Arthur's lead and head over to the Central capital. Everyone should get ready to travel....."
2150,Akira,Yes.
2151,Chloe,Sir Sage! Sir Sage! I have a guest for you!
2152,Akira,A guest?
2153,Envoy,"I-I'm an envoy from the capital, with a message from Prince Arthur: preparations for the parade are still underway, so he would like you to wait here for a while longer."
2154,Cain,"I see. The capital must be in disarray, after all."
2155,Akira,"When should we depart, then?"
2156,Envoy,"Tomorrow, or the day after.... We will send another envoy your way when preparations are complete. Until then, do relax and spend the time as you please."
2157,Akira,"I see. Thank you. I guess we should wait at the magic headquarters for a while, then."
2158,Akira,"A parade and a party, huh.... I've only ever been to a relative's wedding party - what am I going to do about etiquette....?"
2159,Narrator,(Knock knock)
2160,Chloe,"Sir Sage, can I come on in?"
2161,Akira,"Chloe? Yes, of course."
2162,Narrator,(Door opens)
2163,Chloe,Excuse me. Can I ask a question?
2164,Akira,What is it?
2165,Chloe,"Arthur mentioned stuff like a parade and a party and a ceremony, but do we get to participate in all that too?"
2166,Akira,Yes. They'll all be held in Central Country.
2167,Chloe,Yay~!
2168,Narrator,Chloe raises both his arms and leaps up in delight.
2169,Chloe,"I've always wanted to go to a party! I've made clothes for parties before, but I've never actually been to one! Yay! I'm so so happy! I love designing clothes! What kinds of clothes should I make this time?"
2170,Narrator,Chloe spins around and around in a dance of joy. I can't help but smile watching him.
2171,Akira,Seeing you this delighted makes me happy too.
2172,Chloe,"Of course I'm happy - it's a party! Don't you like parties, Sir Sage?"
2173,Akira,"I've never really been to one, you see....."
2174,Chloe,"Then we're the same! I'll make you an awesome outfit, Sir Sage. I'm making one for Rustica too. Rustica is tall and handsome, so he looks good in everything. But getting him into the outfit is the hard part! He does his buttons up all wrong, and his laces are always coming untied. He's clumsy in the weirdest ways, so it can be a whole chore."
2175,Narrator,"Chloe calls it a chore, but it looks like he really enjoys taking care of Rustica."
2176,Akira,"So you and Rustica are pretty close, Chloe."
2177,Chloe,"Hmm, yeah. I guess so? I hope that's the case, but Rustica is a bit quirky, so..... Rustica is actually a noble, you see. He's also a famous harpsichord player. He said he's been to parties before. He told me to watch out because parties will make your eyes spin."
2178,Akira,Make your eyes spin?
2179,Chloe,"They'll spin from looking around at all the people, they'll spin from all the twirling you do as you dance, and they'll spin when you've had too much wine, too."
2180,Akira,Ahaha!
2181,Narrator,I laugh at the silly advice. And Chloe's smile grows even bigger.
2182,Chloe,"You laughed! I'm glad. Sir Sage, you said you came here from another world all alone, right? I was alone until I met Rustica, so.... Let's get along. I'll work hard so that I can be of use to you, Sir Sage!"
2183,Narrator,"Chloe flashes me a big, bright smile of encouragement. His kindness touches my heart."
2184,Akira,"Thank you very much, Chloe. Let's all enjoy the party together."
2185,Chloe,Yeah!
2186,Rustica,"Chloe~? Chloe, where are you?"
2187,Chloe,"Ah, Rustica's calling for me. I bet he lost something again. I have to go. See you later, Sir Sage!"
2188,Akira,See you.
2189,Narrator,"Some are looking forward to the party; others, not so much."
2190,Akira,"The bread is delicious.... Nero, did you bake this?"
2191,Nero,Yeah.
2192,Akira,"It's so good! The wheat flavor is delicious, and the outer layer is crisp, but it's perfectly soft underneath...."
2193,Nero,Thanks.
2194,Akira,Bradley would be delighted. I hear he loves delicious food.
2195,Nero,"Is that so. Hey, Mister Sage. Can I go home already?"
2196,Akira,"I'm sorry.... We can discuss living arrangements later, but I still want you to take part in the party and the parade."
2197,Nero,A party and a parade..... Do I really have to go?
2198,Akira,"You don't want to, Nero?"
2199,Nero,Not really......
2200,Akira,But you ran a restaurant - you must be used to dealing with people?
2201,Nero,"I presented myself as a human when I ran my shop. Only wizards or severe weirdos would visit a wizard's restaurant. The moment you say you're a wizard, people will admire you, hate you, suspect you, avoid you, or fear you. I'm sick of it."
2202,Akira,Nero........
2203,Nero,"I get that you and Arthur are working hard for the sake of wizards, but..... Nothing's gonna change. What you should really do is pretend that you're not a wizard, and just like that, you'll be free of all your burdens."
2204,Riquet,So you never intend on using your God-granted powers for the sake of others? You're just going to selfishly live an easy life?
2205,Akira,Riquet......
2206,Nero,"Haha.... Those are some harsh words first thing in the morning. Good morning, little guy from Central. What do you want for breakfast?"
2207,Riquet,I cannot eat soiled foods.
2208,Nero,What? I'd never feed you any rotten crap. Are you saying I don't keep the kitchen clean?
2209,Riquet,"No, that's not..... I can only eat holy beans, holy milk, holy eggs, and fruit."
2210,Nero,What are you talking about.... Can you draw me a picture?
2211,Riquet,"......Red things, like this..... Yellow things, like this......"
2212,Nero,"Okay, so a banana and an apple. You're a kid, so you need to get more nutrients. How about carbs? Can you eat bread?"
2213,Riquet,I can eat bread.
2214,Nero,Got it.
2215,Narrator,"Without a hint of magic, Nero skillfully gathers the kitchen utensils to begin cooking. A pleasant rhythm fills the kitchen. He handles the pan with such grace that I feel like I'm watching a musician or a dancer; it fills my heart with excitement."
2216,Nero,"Here, thanks for waiting. The bread is fresh out of the oven, so it's still warm."
2217,Riquet,........
2218,Nero,What's wrong?
2219,Riquet,I've never eaten warm food.....
2220,Nero,Huh? What kind of life have you been living? Were you being bullied?
2221,Riquet,No. They took good care of me.
2222,Nero,"I see. But if I cared about someone, I'd never offer them a cold meal."
2223,Riquet,Thank you for the meal.
2224,Nero,"Yeah, eat up. In any case, I refuse to attend the party or the parade......"
2225,Riquet,....It's delicious......
2226,Nero,"Hm? Haha, right? Doesn't it taste great?"
2227,Riquet,......I've never eaten anything so good.......
2228,Nero,.........
2229,Riquet,"It feels like my mouth is in heaven..... It's truly delicious. Thank you so much, Nero."
2230,Nero,........ You're welcome.
2231,Riquet,....This is good too! I didn't realize the outside world had such delicious food..... Ah..... But is this temptation....?
2232,Nero,Temptation? What are you talking about?
2233,Riquet,Father Priest told me that the outside world is corrupted and full of temptation - that's why both humans and wizards have fallen. That is why the Church is protecting me from the outside world until my powers can be put to proper use. I need to erase this tainted mark from my forehead and return to my people at the Church as soon as possible....
2234,Nero,Who is this father priest? Is he a wizard?
2235,Riquet,"No. He's human, but he was chosen by God - he can hear His voice. He taught me my way of life."
2236,Nero,"............. ...Humans are even using kids now, huh....."
2237,Riquet,Huh?
2238,Nero,How old are you?
2239,Riquet,I'm sixteen.
2240,Nero,You seem younger than that..... Must be because you were locked away all this time....
2241,Riquet,I wasn't locked away. They were simply protecting me from the corruption of the outside world. They're all very kind people.
2242,Nero,"......Got it. Feel free to eat as much as you want. There's plenty to go around for seconds, too."
2243,Riquet,"Yes, thank you!"
2244,Mitile,Riquet!
2245,Riquet,Mitile.....
2246,Mitile,"Ah... Hello Sir Sage. Mister Nero, too - breakfast was delicious!"
2247,Nero,Thanks.
2248,Mitile,"Riquet, when you're finished eating, let's head to the courtyard together. My brother will be teaching lessons!"
2249,Riquet,Rutile will? Am I allowed to join you?
2250,Mitile,"Of course! We're friends now, Riquet."
2251,Riquet,Friends..... Got it. I'll join you then.
2252,Mitile,"Ah.... Sir Sage, Mister Nero, would you like to join us too?"
2253,Nero,"I'm good. Study hard, guys."
2254,Akira,I'll drop by to see how things are going later.
2255,Mitile,All right. See you later!
2256,Riquet,Ye~s!
2257,Narrator,Riquet and Mitile exchange smiles. The hint of childishness in their interactions warms my heart.
2258,Rutile,"All right now, Mitile, Riquet. I'm going to teach you two some new words today."
2259,Mitile & Riquet,Yes!
2260,Rutile,"Riquet, how well can you write?"
2261,Riquet,Write.....
2262,Mitile,Don't you know how to read and write?
2263,Riquet,It wasn't part of my job.... Does everyone here know how to write?
2264,Mitile,"Yes, my brother taught me!"
2265,Riquet,........... .......I see.....
2266,Rutile,"Then let's start by learning how to write your name, Riquet. I love the name Riquet - it has such a beautiful ring to it. How about you, Riquet?"
2267,Riquet,Ah.... I like it too.....
2268,Rutile,"That's great. ""Riquet."" This is how you spell your name."
2269,Riquet,R-i-q-u-e-t......
2270,Rutile,"Well done! Next, Mitile, could you write your name? Make it look extra nice, so that Riquet can read it."
2271,Mitile,"Got it! Watch me, Riquet. ""Mitile""...... This is my name."
2272,Riquet,M-i-t-i-l-e. Mitile. Got it! I'll try writing it out.
2273,Rutile,"Excellent job, you two. Both humans and wizards use words to express their thoughts and feelings to others, right? That's why words are so important. Words express the heart, and in turn, the heart is also drawn to words. If you use kind words, you become a kinder person. If you use cruel words, you become a crueler person. The words you use will tinge your heart, dyeing it different colors. And the words that you receive can also influence the color of your heart. If you hear nothing but strict and cruel words, your heart shrivels up and becomes all sad and miserable. That's why words are the same as magic. They can bring blessings upon yourself and others, but they can also cast curses the same way."
2274,Riquet,I see......
2275,Riquet,I would like to use words of blessing. Because I want to bless others and make them happy. This includes you two as well.
2276,Rutile,"Thank you. That already makes me happy; you're a kind, good boy, Riquet. And the same goes for Mitile, too. I love you two very much."
2277,Mitile,Ehehe......
2278,Riquet,Ehehe.....
2279,Narrator,Riquet and Mitile blush and giggle to each other.
2280,Narrator,(Footsteps)
2281,Narrator,Nero approaches me as I observe the heartwarming moment. He awkwardly averts his gaze as he mumbles.
2282,Nero,I'll do the party and the parade.
2283,Akira,Eh? Really....?
2284,Nero,"Just this once. None of it is taking place in Eastern Country, so.... If we wizards show up all fancy - looking all tough - for these events, people will be less likely to take advantage of laid-back guys like them, right?"
2285,Akira,Nero.... Thank you.
2286,Nero,"No need to thank me. It's basically just a free meal and drinks, after all. ...What about the Northern wizards? They're not going to show up, right?"
2287,Akira,"I'd like them to come, but..... They probably won't show up unless someone stronger than them - like Oz - commands them to....."
2288,Nero,"Yeah, that makes sense. ....It's for the better....."
2289,Akira,Nero?
2290,Nero,"No, it's nothing....."
2291,Akira,Rutile.
2292,Rutile,Sir Sage.
2293,Akira,I was listening to your lesson from a distance. Please let me join in next time. I'd love to learn about the world with everyone else.
2294,Rutile,"Giving the Sage a lesson - the prospect makes me nervous, but I'd love to have you!"
2295,Akira,"Rutile, both you and your brother Mitile are wizards, right? Were your parents wizards too?"
2296,Rutile,"Our father was human, but our mother was a witch. She was known as the great witch Tiretta, and she was apparently quite famous. She passed away after she gave birth to Mitile, but she was a bright and cheerful witch."
2297,Akira,"I see.... Rutile, you must be a kind person because she was a wonderful mother."
2298,Rutile,"Thank you. Mother was an important person in my life, but it's also thanks to one of her friends."
2299,Akira,Miss Tiretta's friend?
2300,Rutile,"Yes. I met him when Mitile was still in Mother's tummy. I was a child at the time, but he still seemed like such a cool man. Powerful witches and wizards can tell when their life is coming to an end.... When Mother told me that she didn't have much time left.... I fell into shock, and almost started crying. But her friend showed me an incredible spell: it was so powerful that he blew away an entire mountain in an instant."
2301,Akira,A whole mountain in an instant.... I didn't realize magic could be so powerful.....
2302,Rutile,"Yes. After that, the cool uncle gave me a weird talisman and promised me this: ""I will protect you and your brother."""
2303,Narrator,Rutile smiles bashfully.
2304,Rutile,"Those words really heartened me. Because I knew that I wouldn't be alone, even after Mother died. And he was right - my little brother was born. Then my mother passed away, and my father followed, leaving just the two of us behind..... But knowing that we have this uncle watching over us.... That alone reassures me, and I can keep walking forward with my head held high, telling myself, ""hang in there, and keep doing your best."""
2305,Rutile,"Long legs? Now that you mention it, he did have long legs! Mother introduced him to us as an uncle, but he actually looked a bit younger than that. Ah! I got carried away chatting for so long. It just brought back all these memories....."
2306,Akira,"No, thank you for telling me all this. I hope you get to meet your Daddy Long Legs one day."
2307,Rutile,Me too!
2308,Central Country man,Today's the day of the Sage's wizards' parade! We'll get to see the heroes who defeated the < Great Catastrophe >!
2309,Central Country woman,The wizards sure are taking their time......
2310,Central Country man,"Even if you call them heroes, wizards are just liars who only act according to their whims. Are you sure they didn't just ditch?"
2311,Central Country woman,No way...... But we put so much effort into preparing for their welcome on top of carrying out the restoration work.......
2312,Central Country man,"They must have been this irresponsible when fighting against the < Great Catastrophe > too...... That's why we've suffered such great damages...... .....Even though we suffered as much as they did, why are we the ones who have to welcome them......"
2313,Arthur,............ Everyone is late.......
2314,Cock Robin,Indeed......
2315,Arthur,We were supposed to meet up at the outskirts of town and head to the parade together. I explained all this to Cain. It's already time...... Did something happen? Maybe I should go and check.
2316,Cock Robin,"Y-you can't! Prince Arthur, if you're gone too-...."
2317,Arthur,"Then could you go check on them for me, Cock Robin?"
2318,Cock Robin,"I understand. If I hurry by carriage, I'll be there in half a day -"
2319,Arthur,"No, that'd be too late. If you fly at the speed of a frigate bird, you should be there in no time."
2320,Cock Robin,"Well, sure, but I'm not a frigate bird...... ......!?"
2321,Arthur,<< Pernoctant Nixzo >>
2322,Narrator,(Wings flapping)
2323,Cock Robin,"Squawk, squawk squawk squawk!?"
2324,Arthur,"I'm counting on you, Cock Robin."
2325,Cock Robin,Squawk......squawk squawk!
2326,Heathcliff,Your nails....? You paint your nails?
2327,Chloe,"Yup, isn't it cute? I'll paint yours too, Heath!"
2328,Heathcliff,"Uh, umm....?"
2329,Shylock,"It's actually quite sensible to decorate your fingertips. We cast spells with our fingers when we're not using our magic tools, after all. Putting effort into them will increase your power."
2330,Chloe,"Really! Okay then, I'm gonna make them even fancier..... Woah....!"
2331,Little sheep,"Baa, baa! Baa!"
2332,Riquet,Woah... Such tiny sheep!
2333,Mitile,Aren't Mister Leno's sheep so cute?
2334,Lennox,"I didn't know when we'd get to go home, so I made them small and brought them with me."
2335,Figaro,"Yawn.... It's been a while since I've had this much free time. Rutile, can you brew me some tea?"
2336,Rutile,"Dr. Figaro, you're going to get as round as a cow if you laze around all day."
2337,Figaro,"Hey, cows are great."
2338,Akira,"We were told to wait until another envoy came for us, so....."
2339,Cock Robin,"Grr-, squawk squawk!!"
2340,Chloe,"Woah, what now!? A frigate bird!?"
2341,Heathcliff,No... It's a person.....
2342,Figaro,Looks like he's under a spell. Here we go!
2343,Cock Robin,........hh.
2344,Akira,Mister Cock Robin.
2345,Cock Robin,Sir Sage! Why are you all just sitting around like this!?
2346,Akira,Huh? But we were told to wait here......
2347,Cock Robin,The parade's going to begin any moment now!
2348,Chloe,"Oh no, oh no, we need to hurry! I need to pack this and that and..... Oh, Rustica, are you all packed?"
2349,Rustica,"Yaawn.... Good morning. Why the rush, Chloe? There's still plenty of time till the party. I slept so well. Looks like it's time for some afternoon tea. Let me boil some water and....."
2350,Chloe,Save the tea for later! There was some kind of miscommunication - we need to hurry and leave right now!
2351,Rustica,Really. This is the first time I've heard about that.
2352,Chloe,"Because this is the first time I've mentioned it! Ah, your bedhead.....! Rustica, stay still, I'm gonna fix you up."
2353,Rustica,"Yaawn.... Okay, I'll pack my bag with magic. Some socks, a handkerchief, an umbrella....."
2354,Chloe,"Rustica, that's not an umbrella! That's some snake that was crawling around....!"
2355,Rustica,A necktie?
2356,Chloe,A snake....!
2357,Shino,"Can't they make up their minds? First they tell us to wait, then they tell us to come. What a fuss."
2358,Heathcliff,Look.... They probably have their reasons.
2359,Cain,"I'll lead you guys to the capital by broom. Cock Robin, give me the detailed rundown."
2360,Cock Robin,"Uh, umm, we're going to meet with Prince Arthur at the entrance of the city. Then we'll have you transfer over to the ceremonial carriages for the parade. There will be a crowd of people hoping to see you as the carriages make their way to the castle. If you could wave at them...."
2361,Cain,Got it. Let's go! Everyone follow me!
2362,Murr,There he goes.
2363,Shylock,Cain certainly enjoys leaping ahead and grabbing the reins - perhaps it's because he was the former general of the knights. Let's follow his lead.
2364,Cock Robin,"Ah, wait for me! What should I do.....!?"
2365,Figaro,"You can take the elevator. The headquarters' tower connects to the Central tower, right?"
2366,Snow,Unfortunately it doesn't seem to be functioning. Something might have happened to the Central tower.
2367,Rutile,"Then I can take you. I'll make sure you don't fall, so please hop onto the back of my broom."
2368,Cock Robin,Th-thank you! I'd feel perfectly comfortable riding behind a wizard as kind as you!
2369,Rutile,Leave it to me! I'll fly even faster than a frigate bird!
2370,Cock Robin,Huh?
2371,Figaro,"Hey, good luck. Rutile is usually very calm and gentle, but he's an absolute speed demon when he's flying."
2372,Cock Robin,Huh!?
2373,Rutile,Here we go~.
2374,Cock Robin,W-wai..... Aaaaaahhh......!
2375,Narrator,"The moment Cock Robin mounts the broom, Rutile shoots up into the air. They zip through the sky like a shooting star."
2376,Cock Robin,"Y-you're going too fast! Too fast.....!! Wait, please slow down.....!"
2377,Rutile,Huh? I can't really hear you~.
2378,Akira,W-will he be all right.....
2379,Lennox,I think he'll be fine. Rutile is flying slower than usual.
2380,Rustica,"Sir Sage, allow me to fly you there. May I take your hand?"
2381,Akira,"Ah.... Thank you, Rustica."
2382,Rustica,It's an honor.
2383,Narrator,"Rustica takes my hand and bows with the grace of a prince. He's the second wizard who's let me ride his broom, after Murr. Rustica has me sit in front of him, then wraps his arms around me from behind."
2384,Rustica,"Do excuse me. I know there are people who have their guests ride behind them, but I tend to be a bit careless, so. I'm always afraid that I might lose the person riding with me. So please bear with me for the course of this short flight."
2385,Narrator,I was growing a bit nervous at how close he was - speaking right into my ear - but his gentle and relaxing presence puts me at ease. The soft scent of his refined perfume brightens my mood.
2386,Akira,"Oh, it's fine. Thank you for letting me ride on your broom. Are you sure I'm not too heavy?"
2387,Rustica,"Not at all. I feel like I'm carrying a feather. Well then, shall we go? It might be a bit shaky at first, but we'll be flying steady soon enough. So please don't be afraid."
2388,Narrator,"Rustica's broom floats into the air, and I can feel the tips of my toes leave the ground."
2389,Narrator,(Whoosh)
2390,Narrator,"I realize that each wizard's personality is reflected in how they ride their broom. Murr's flight was a complete mess - a rollercoaster of a ride - but Rustica flies with a delicate, gentlemanly grace. I can see why Chloe is so attached to him."
2391,Rustica,Is the wind too chilly?
2392,Akira,"No, I'm all right."
2393,Rustica,"Sir Sage, how was the weather back in your country? Was it a cold place? Or was it quite warm?"
2394,Akira,"Well.... It was neither extremely hot nor extremely cold. It would get moderately warm, and moderately cold."
2395,Rustica,"That's wonderful. So you could have different experiences while living in one place. That means you're familiar with the flower that blooms in the gentle sunlight, the bright sky that glitters in scorching weather, and the snow that falls upon a freezing night."
2396,Akira,"Yes.... When you put it like that, I guess I am."
2397,Rustica,"Your country, and your life there - it all sounds like a beautiful poem."
2398,Narrator,"My heart grows warm at Rustica's straightforward praise. As I gaze at the vast, sprawling lands beneath us, I'm overcome by nostalgia for my world. I had forgotten about it because of how busy I was, but I loved that world and its four seasons."
2399,Akira,"Yes, it was.... I mean, my world had its problems too, but I still think it was a lovely place. And I like this world too. Day by day, I'm coming to like it more and more. It's mysterious, and beautiful, and a little scary....."
2400,Rustica,"That's wonderful. I'm happy to hear that, and I think this world would feel the same."
2401,Narrator,"A gentle wind blows through the sky and the earth. But as we fly on, the vast and beautiful landscape that had been flourishing with nature slowly begins to reveal the cruel scars of destruction."
2402,Mitile,There was a landslide over there.....
2403,Riquet,And there's a giant crack in the ground over there. Was there an earthquake?
2404,Lennox,How terrible... Catastrophes have left their scars across the land.....
2405,Cain,It must be because the < Great Catastrophe > got so close.... Prince Arthur said the Central capital was in terrible shape as well.
2406,Shino,The Eastern forest was a mess too.
2407,Heathcliff,Does that mean Blanchett Castle....?
2408,Shino,No. The castle region seemed to be relatively well-off. The forest must have protected it. Master and Mistress are both safe.
2409,Heathcliff,I see......
2410,Shino,"But magical creatures from the ancient past have been revived. For humans, it must feel like the end of the world."
2411,Figaro,I see. So that's why they need a hero.
2412,Rutile,....What do you mean?
2413,Cock Robin,Mister Rutile! Please don't make such a sharp turn!
2414,Figaro,"When the world is on the brink of despair, people yearn for heroes - for symbols of hope. But this will be a bit of a dangerous gamble."
2415,Chloe,A dangerous gamble? Why is it dangerous?
2416,Faust,Hmph. Because a hero can easily be transformed into a villain. There may be people who believe that we will save the world- But there are just as many who will claim that we will let the world fall to destruction because we are not strong enough. That's just how humans are.
2417,Shylock,Oh my. So that means we don't know whether the crowd will toss flowers or hurl stones at us during the parade.
2418,Akira,Oh no.....
2419,Chloe,"Eh....? I finally get to participate in a party and a parade, but everyone's just going to hate me again....?"
2420,Rustica,"Nobody will hate you, Chloe. They're all eagerly looking forward to meeting you."
2421,Chloe,But......
2422,Rustica,"Don't you agree, Sir Snow, Sir White?"
2423,Snow & White,"That's right, that's right! ....Is what we'd like to say, but......."
2424,Snow,Faust has good reason to worry. That was why we wanted to get Oz to bring Mithra and the others along.
2425,White,"Because humans fear Oz and the Northern wizards the most. If people see that even these wizards are with us, they'll surely feel at ease, but..... If they see that these wizards refuse to listen to us, it will simply compound their anxiety. For we won't look like we're working together."
2426,Chloe,But.... Does that mean that dressing up is pointless....? Nobody will welcome us...?
2427,Cain,"We just need to look confident, no matter the circumstances. There's no use in getting hung up on the fact that we failed to convince Oz. Plus, I bet Prince Arthur made extra preparations to make up for who we're missing."
2428,Riquet,"Indeed.... If we show the people that we are truly here to serve them as disciples of God, I am sure it will put their worries to rest."
2429,Shino,"What do you mean, serve? We're not slaves."
2430,Heathcliff,Shino......
2431,Shino,We were chosen for a role that we never asked for. Why do we have to suck up to people on top of that?
2432,Riquet,Isn't it simply right to use your God-granted powers for the greater good?
2433,Shino,"Who I choose to be of use to is a decision for me alone. I'm willing to sacrifice my life for my Master and Mistress at Blanchett. But if anyone else wants to use my power, they'd better beg me for it. I refuse to kiss up to a bunch of jerks who sit around and whine all day."
2434,Riquet,"....You are thinking like an oppressor. We are more fortunate than humans, and must....."
2435,Nero,"What do you mean, fortunate? They're out here throwing rocks at us. What do we get from fighting the < Great Catastrophe >? What do we get from fighting public criticism? Absolutely nothing."
2436,Rutile,"Please calm down, everyone.... Even so, I'm sure we can become a symbol of hope for somebody out there - just by existing. Once they remember what it feels like to hope, peace will return to their hearts. And they will no longer reach for rocks to hurl at us."
2437,Faust,How naive.
2438,Rutile,Mister Faust.....
2439,Faust,"Humans possessed by fear will easily carry out more horrifying cruelties than the most vicious wizard in the world. What if the crowd turns into a violent mob? What if they attempt to trample your brother to death? What will you do then, wizard of the South?"
2440,Rutile,I.....
2441,Figaro,I'll protect him.
2442,Rutile,Dr. Figaro.....
2443,Figaro,"And I will also protect you from the stones they hurl, Faust. Because I can smile in the face of such cruelty."
2444,Faust,...........
2445,Figaro,"I understand why you loathe humans. But at this rate, they'll simply see wizards as their enemies. We need to put smiles on our faces to make up for the Oz and the missing Northern wizards. Otherwise, we won't even be able to fight the catastrophes."
2446,Faust,Are you telling me to force a smile!?
2447,Figaro,Listen.....
2448,Lennox,I'll do it.
2449,Narrator,Everyone grows silent at Lennox's words.
2450,Lennox,"I will smile in your stead, Sir Faust, and for the rest of the Eastern wizards too."
2451,Narrator,We all turn around and look at the usually-quiet man with puzzled expressions on our faces.
2452,Mitile,"....You will, Mister Lennox?"
2453,Lennox,Yes.
2454,Mitile,"You're going to force a smile....? Um, I don't think I've really seen you smile all that much, Mister Lennox....."
2455,Lennox,Really?
2456,Mitile,Yes.... Could you please try to smile right now?
2457,Lennox,..........
2458,Lennox,....Like this?
2459,Narrator,"Lennox bares his teeth and grins. And in that moment, the tension among the wizards shatters as they burst into peals of laughter."
2460,Faust,Haha. Now that's certainly not it.
2461,Lennox,....Really?
2462,Figaro,"Ahaha! No no, it was absolutely charming! All the girls in Central will fall in love with you for sure."
2463,Rutile,"Mister Lennox, you're so cute."
2464,Lennox,Am I....?
2465,Shino,"Hey Heath, you should give it a try. You've got a pretty face if nothing else, so you'll have the girls squealing in no time."
2466,Heathcliff,"What do you mean, ""if nothing else""....."
2467,Narrator,I breathe a sigh of relief at the lightened mood in the air. Murr twirls through the bright blue sky with gleeful laughter.
2468,Murr,"Ahaha! How fun! Whether they throw stones or flowers at us - it'll still be fun! We are wizards. We can turn things into anything we want them to be. So let's turn the flowers into fireworks; and the stones into jewels! Let's laugh and carry on, regardless of who is watching us - be it bustling crowds, singing flowers, or pallid ghosts!"
2469,Narrator,"His eyes glimmer with the beauty and terror of a burning moon. I freeze in place, captivated, until Chloe flies up beside me."
2470,Chloe,"Hey, hey, Sir Sage."
2471,Akira,"What is it, Chloe?"
2472,Chloe,"Remember how the twins mentioned that we won't look like we're working together because the Northern wizards are missing? I was actually thinking that it'd be nice if we could wear matching clothes - since it's a party and all. But everyone here is so unique, with all different styles, so I had a hard time coming up with a single uniform. That's why....."
2473,Narrator,"Still on his broom, Chloe pulls out his sewing box and flips open the lid. In an instant, matching robes appear atop all the flying wizards."
2474,Chloe,I made us matching robes and outfits instead!
2475,Rutile,"Oh, these outfits are amazing!"
2476,Shylock,"My, they are quite stylish."
2477,Shino,They look really cool.
2478,Snow,We match!
2479,White,We match!
2480,Snow & White,We love to match!
2481,Chloe,I was wondering if we could wear these during the parade!?
2482,Cain,I think that's a great idea. Uniforms make you feel more disciplined and prepared.
2483,Heathcliff,Reminds me of school.
